,area,convex_area,bbox_area,major_axis_length,minor_axis_length,perimeter,equivalent_diameter,mean_intensity,solidity,eccentricity,ratio_length,perimeter_ratio_major,perimeter_ratio_minor,area_ratio_convex,area_ratio_bbox,peri_over_dia,Finding
1,10757,14593,18612,413.5716363,41.30383981,1426.962554,117.0309266,151.0037185,0.737134242,0.995000387,10.01291014,3.450339502,34.54793937,0.737134242,0.577960456,12.19303816,Normal
2,160,233,253,24.48136251,11.55291152,75.76345597,14.27299293,183.33125,0.686695279,0.881648657,2.119064314,3.094740169,6.557953453,0.686695279,0.632411067,5.308168815,Normal
4,155,347,684,29.2761897,13.90893202,93.24873734,14.04820734,131.4709677,0.446685879,0.879935235,2.104848141,3.185139128,6.704234173,0.446685879,0.226608187,6.63776773,Normal
5,841,1259,2923,83.17336515,16.06379041,230.8944443,32.72299585,143.5802616,0.667990469,0.98117195,5.177692377,2.776062311,14.37359667,0.667990469,0.287718098,7.05603012,Normal
6,277,344,600,33.48671378,11.66502838,81.21930009,18.77997215,145.700361,0.805232558,0.937365297,2.870692868,2.425418649,6.962632016,0.805232558,0.461666667,4.324782776,Normal
7,225,315,608,35.30107282,9.090786318,86.39087297,16.92568751,140.1911111,0.714285714,0.96627256,3.883170453,2.447259136,9.503124366,0.714285714,0.370065789,5.104127849,Normal
8,212,267,525,35.77456266,8.119161748,80.80508653,16.42944867,143.509434,0.794007491,0.973905598,4.406189182,2.258730241,9.952392752,0.794007491,0.403809524,4.918307861,Normal
9,219,362,740,36.92310921,10.15073486,113.0477272,16.69848677,136.7077626,0.604972376,0.961468393,3.637481397,3.061706601,11.1369008,0.604972376,0.295945946,6.769938426,Normal
10,207,321,697,37.36266421,8.270681192,98.52691193,16.23454914,140.8888889,0.644859813,0.975191664,4.517483306,2.637041925,11.91279287,0.644859813,0.296987088,6.068965087,Normal
11,450,916,2275,102.4170888,9.998206432,232.7106781,23.93653682,137.4222222,0.491266376,0.995223522,10.24354613,2.272186026,23.27524239,0.491266376,0.197802198,9.721986093,Normal
13,128,153,224,17.07020844,11.3611942,54.55634919,12.76615297,137.1171875,0.836601307,0.746347155,1.502501246,3.195997832,4.801990726,0.836601307,0.571428571,4.273515232,Normal
2,2803,3367,3920,101.7704989,38.21008854,403.6579003,59.74019119,148.4245451,0.832491832,0.926841238,2.663445775,3.966354737,10.56417076,0.832491832,0.71505102,6.756889997,Normal
3,152,232,252,22.18482052,12.91274034,68.55634919,13.91159268,181.4342105,0.655172414,0.813150882,1.718056736,3.090236818,5.309202182,0.655172414,0.603174603,4.928001472,Normal
4,270,386,810,33.02717314,13.44507973,109.9472222,18.5411617,139.2481481,0.699481865,0.913387406,2.456450524,3.328992817,8.17750615,0.699481865,0.333333333,5.929899321,Normal
5,1638,4724,26384,291.0172688,20.36656463,711.8782464,45.66800165,141.0470085,0.346740051,0.997548111,14.28897186,2.446171835,34.9532805,0.346740051,0.062083081,15.58811905,Normal
6,330,701,1763,58.17647682,15.71714704,180.2670273,20.49802551,133.7242424,0.470756063,0.962814525,3.701465455,3.098624,11.46944969,0.470756063,0.187180942,8.79436057,Normal
7,327,857,2210,87.87161965,12.69843356,238.0538239,20.40463994,142.4311927,0.381563594,0.989503164,6.919878681,2.709109321,18.74670784,0.381563594,0.147963801,11.66665153,Normal
1,1166,1247,1800,47.31226584,33.08821207,150.01829,38.53047248,155.0343053,0.935044106,0.714771554,1.429882816,3.170811782,4.533889279,0.935044106,0.647777778,3.893497285,Normal
2,781,834,1184,34.7406934,30.63850099,113.4619408,31.53410986,153.6402049,0.936450839,0.471399713,1.133890115,3.265966498,3.703247128,0.936450839,0.659628378,3.598070194,Normal
3,175,253,266,20.39964018,15.93219673,72.55634919,14.9270533,181.68,0.691699605,0.624526258,1.280403483,3.556746518,4.55407063,0.691699605,0.657894737,4.860728217,Normal
1,163,242,255,18.30141657,16.58108004,67.38477631,14.40618082,192.6871166,0.673553719,0.42327808,1.103752983,3.681943202,4.063955794,0.673553719,0.639215686,4.677490666,Normal
2,145,223,380,19.37126848,12.661836,64.07716447,13.58748446,145.137931,0.650224215,0.756805619,1.529894123,3.307845562,5.060653485,0.650224215,0.381578947,4.715896062,Normal
3,151,216,323,22.66119394,11.66195092,69.31980515,13.86575534,138.0066225,0.699074074,0.857417114,1.943173495,3.058965266,5.944100229,0.699074074,0.46749226,4.99935297,Normal
1,170504,220659,232448,637.4636747,449.0496337,6344.171245,465.9317926,178.3401562,0.772703583,0.709771759,1.419583999,9.952208254,14.12799559,0.772703583,0.733514593,13.61609434,Normal
2,201,304,322,23.65174176,15.63847007,80.76345597,15.9975357,176.9303483,0.661184211,0.750211972,1.51240765,3.4146938,5.164409027,0.661184211,0.624223602,5.04849356,Normal
3,189,277,448,29.30905497,11.49665379,84.63351365,15.51264884,134.6507937,0.682310469,0.919856076,2.549355275,2.887623423,7.361578006,0.682310469,0.421875,5.45577448,Normal
4,346,467,924,30.57139156,18.05282718,119.0538239,20.98906578,136.8381503,0.740899358,0.807027575,1.693440659,3.894288673,6.594746776,0.740899358,0.374458874,5.672183083,Normal
5,116,186,285,19.97224422,11.06606775,60.49137803,12.15301556,135.7758621,0.623655914,0.832468535,1.804818539,3.028772198,5.466384211,0.623655914,0.407017544,4.97747886,Normal
1,274,734,774,53.12664249,19.92993877,192.627417,18.6779987,235.3905109,0.373297003,0.926968089,2.665670131,3.625815748,9.66522874,0.373297003,0.354005168,10.31306513,Normal
2,1333,1942,3128,66.90000172,32.63598997,259.7939392,41.1974309,135.0780195,0.686405767,0.872937298,2.049884247,3.883317378,7.960351118,0.686405767,0.426150895,6.306071363,Normal
3,365,473,666,32.68433453,15.62490204,115.4264069,21.55765372,132.7013699,0.77167019,0.878330027,2.091810524,3.531551385,7.387336352,0.77167019,0.548048048,5.354312133,Normal
1,485,981,1118,50.61594804,29.29785467,215.6751442,24.84997342,248.6556701,0.494393476,0.815450687,1.727633256,4.261011648,7.361465427,0.494393476,0.433810376,8.679089532,Normal
3,260,294,480,21.665683,16.40728162,70.63351365,18.19456737,139.6807692,0.884353741,0.653074656,1.320491932,3.260156333,4.305010136,0.884353741,0.541666667,3.882121088,Normal
1,183,347,475,25.49977006,16.12173603,108.0477272,15.26443044,140.7431694,0.527377522,0.774780236,1.581701251,4.237203981,6.701990839,0.527377522,0.385263158,7.078398872,Normal
2,215,425,476,32.6471269,19.6313223,139.0121933,16.5452864,248.7813953,0.505882353,0.799009404,1.663012119,4.258022267,7.081142634,0.505882353,0.451680672,8.401921244,Normal
3,111,189,315,20.63561236,11.12360945,64.52691193,11.88821221,141.6216216,0.587301587,0.842274306,1.855118382,3.126968602,5.800896933,0.587301587,0.352380952,5.427806201,Normal
4,126025,175618,197701,479.124648,423.4188253,6375.819044,400.5746043,168.5809958,0.717608673,0.467989219,1.131561989,13.30722406,15.05794892,0.717608673,0.637452517,15.91668312,Normal
5,212,329,500,25.25145584,16.00790138,114.6335137,16.42944867,138.4811321,0.6443769,0.773382444,1.577436995,4.539679391,7.161058215,0.6443769,0.424,6.977319567,Normal
1,68563,172231,195584,620.0604042,317.7758558,5630.898121,295.4608653,153.9981623,0.398087452,0.858692135,1.951250836,9.081208996,17.71971664,0.398087452,0.35055526,19.05801676,Normal
3,582,802,1025,39.47994318,21.84650647,151.1543289,27.221782,135.3419244,0.725685786,0.832944134,1.807151328,3.828635929,6.918924502,0.725685786,0.567804878,5.552697797,Normal
4,170,384,406,33.52011208,17.86504222,127.6629509,14.71226436,248.2058824,0.442708333,0.846137368,1.87629627,3.808547854,7.145964131,0.442708333,0.418719212,8.677314911,Normal
6,110,169,416,35.15224263,4.961721584,70.49137803,11.83454055,138.8272727,0.650887574,0.989988292,7.084686642,2.005316667,14.2070402,0.650887574,0.264423077,5.956410201,Normal
9,174,268,320,21.20506174,14.83870208,85.21930009,14.88434348,133.2183908,0.649253731,0.714366551,1.429037501,4.018818768,5.743042729,0.649253731,0.54375,5.725432245,Normal
11,905,1378,1836,63.36921053,22.14015295,256.2436867,33.94527637,133.7359116,0.656748911,0.936979834,2.862184859,4.043662286,11.57370897,0.656748911,0.49291939,7.548728839,Normal
12,585,1028,2530,67.2441659,16.75574913,251.5868325,27.29185105,131.7538462,0.569066148,0.968457771,4.013199611,3.741392715,15.01495579,0.569066148,0.231225296,9.218386544,Normal
1,363,684,760,44.15175789,23.09378444,179.4974747,21.49851052,247.1294766,0.530701754,0.852299115,1.911845934,4.065466093,7.772544823,0.530701754,0.477631579,8.349298175,Normal
2,386,433,754,24.76090574,21.02839814,82.77564928,22.16913314,144.4222798,0.891454965,0.527978021,1.177498427,3.342997633,3.936374456,0.891454965,0.51193634,3.733824356,Normal
