,area,convex_area,bbox_area,major_axis_length,minor_axis_length,perimeter,equivalent_diameter,mean_intensity,solidity,eccentricity,ratio_length,perimeter_ratio_major,perimeter_ratio_minor,area_ratio_convex,area_ratio_bbox,peri_over_dia,Finding
2,271,499,1296,50.04460301,12.74680021,118.1543289,18.57546545,136.302583,0.543086172,0.967017804,3.926052201,2.360980442,9.26933246,0.543086172,0.209104938,6.36077353,Covid-19
1,172,330,594,27.58315073,14.34150339,92.56244584,14.79855404,131.5872093,0.521212121,0.85420455,1.923309571,3.355760433,6.454166158,0.521212121,0.28956229,6.25483041,Covid-19
3,195,280,598,32.4030459,10.59603152,82.42640687,15.75695755,130.1128205,0.696428571,0.945021823,3.058036005,2.543785764,7.778988456,0.696428571,0.326086957,5.231111819,Covid-19
1,618,886,931,59.01111474,19.93863717,220.3675324,28.05106127,156.1537217,0.69751693,0.94118943,2.959636319,3.734339427,11.0522866,0.69751693,0.663802363,7.855942783,Covid-19
2,271,298,304,20.31786548,18.0466593,72.42031022,18.57546545,154.6900369,0.909395973,0.459425516,1.12585189,3.564366064,4.01294827,0.909395973,0.891447368,3.898707702,Covid-19
3,259,338,399,23.66196649,16.78890077,85.01219331,18.1595441,155.4401544,0.766272189,0.704674136,1.40938152,3.592778028,5.063594959,0.766272189,0.649122807,4.681405702,Covid-19
4,204,247,420,26.90146261,12.1479524,78.79898987,16.11647812,129.9509804,0.825910931,0.892234586,2.214485348,2.929171214,6.486606735,0.825910931,0.485714286,4.889343023,Covid-19
2,159,234,336,19.95395259,14.41010947,64.87005769,14.22831992,132.2201258,0.679487179,0.691717523,1.384719015,3.250987862,4.501704711,0.679487179,0.473214286,4.559221192,Covid-19
3,153,172,247,17.00236916,11.95108939,51.07716447,13.95727948,133.5490196,0.889534884,0.711281469,1.422662705,3.004120425,4.273850088,0.889534884,0.619433198,3.65953584,Covid-19
4,101,220,260,23.50403424,14.34960364,83.59188309,11.34007028,143.7920792,0.459090909,0.792003442,1.637957036,3.556490867,5.825379238,0.459090909,0.388461538,7.371372576,Covid-19
1,470,635,770,40.4440584,18.02376596,134.8111832,24.46267741,147.3276596,0.74015748,0.895208866,2.243929403,3.333275357,7.479634581,0.74015748,0.61038961,5.510892407,Covid-19
2,565,848,882,59.36500362,19.48045427,223.3380951,26.82126661,149.4938053,0.666273585,0.944626633,3.04741372,3.762117098,11.46472726,0.666273585,0.640589569,8.326903361,Covid-19
1,95953,125087,173036,462.9245594,318.8164695,2588.629689,349.5299044,179.6896293,0.767090105,0.725045751,1.452009553,5.591903985,8.119498007,0.767090105,0.554526226,7.406032091,Covid-19
2,172,231,312,40.02111641,6.932208076,84.07716447,14.79855404,130.7732558,0.744588745,0.984884254,5.773213379,2.100820067,12.12848252,0.744588745,0.551282051,5.681444568,Covid-19
3,103,164,210,38.65526463,4.623229313,72.42031022,11.45179781,130.2815534,0.62804878,0.992821973,8.361096111,1.873491513,15.6644426,0.62804878,0.49047619,6.323924978,Covid-19
1,204,441,880,42.65893263,13.42294612,110.9766594,16.11647812,143.9068627,0.462585034,0.949205331,3.178060334,2.601487017,8.2676827,0.462585034,0.231818182,6.885912576,Covid-19
2,115,133,242,24.28704695,6.369616635,51.45584412,12.10051849,132.573913,0.864661654,0.964996179,3.8129527,2.118653793,8.078326699,0.864661654,0.475206612,4.252366887,Covid-19
2,122,163,256,32.43654707,5.720860777,68.79898987,12.46335526,133.5327869,0.748466258,0.984323793,5.669871779,2.121033096,12.0259857,0.748466258,0.4765625,5.520101803,Covid-19
3,900,1493,2501,45.42056876,36.3844303,227.9594155,33.85137501,136.3355556,0.602813128,0.598589083,1.248351792,5.018858673,6.265301217,0.602813128,0.359856058,6.73412573,Covid-19
4,446,637,720,32.61419174,22.42021863,119.7045815,23.82991475,137.7825112,0.700156986,0.726243537,1.454677685,3.670321878,5.339135333,0.700156986,0.619444444,5.023290378,Covid-19
6,159,223,322,23.01812393,12.38045467,67.45584412,14.22831992,131.8742138,0.713004484,0.843036211,1.859230904,2.930553521,5.448575672,0.713004484,0.49378882,4.740956383,Covid-19
7,204,320,704,64.54413692,5.413557008,123.8700577,16.11647812,129.995098,0.6375,0.996476391,11.92268537,1.919152747,22.88145437,0.6375,0.289772727,7.685925965,Covid-19
8,1494,2462,7280,212.0950975,13.08013767,512.4568901,43.61444577,133.2603748,0.606823721,0.998096526,16.21505086,2.416165655,39.17824898,0.606823721,0.20521978,11.74970543,Covid-19
9,1224,3395,5535,151.2417142,24.12129916,361.4030663,39.47714785,133.9493464,0.360530191,0.987199802,6.270048441,2.389572666,14.98273637,0.360530191,0.221138211,9.154741057,Covid-19
10,174,267,464,29.32698045,12.52595498,74.59188309,14.88434348,133.5172414,0.651685393,0.904197927,2.341296971,2.543455956,5.954985726,0.651685393,0.375,5.01143253,Covid-19
11,468,540,784,46.98225779,14.66675822,117.5979797,24.41057367,135.2115385,0.866666667,0.950024112,3.203315763,2.503029554,8.017994024,0.866666667,0.596938776,4.817501683,Covid-19
1,286,322,648,32.4011058,11.58588358,78.08326112,19.08262324,144.3846154,0.888198758,0.933883738,2.796602052,2.409894946,6.739517153,0.888198758,0.441358025,4.091851531,Covid-19
2,111,141,230,24.8926997,6.433968412,53.79898987,11.88821221,136.045045,0.787234043,0.966019798,3.868949629,2.161235644,8.361711844,0.787234043,0.482608696,4.525406254,Covid-19
5,133,208,456,37.50634454,6.348972527,72.17766953,13.01310338,135,0.639423077,0.985568464,5.907466819,1.924412267,11.36840162,0.639423077,0.291666667,5.546537782,Covid-19
6,280,472,850,42.38900684,14.00417784,113.0538239,18.88139488,131.9321429,0.593220339,0.9438505,3.026882929,2.667055265,8.072864053,0.593220339,0.329411765,5.987577962,Covid-19
2,153,173,240,15.45501912,13.18731733,51.24873734,13.95727948,135.2810458,0.884393064,0.52146798,1.171960812,3.315993137,3.886214009,0.884393064,0.6375,3.671828556,Covid-19
4,764,1371,2254,48.68459547,29.05984596,241.1726189,31.1890207,134.7198953,0.557257476,0.802315475,1.67532187,4.953776787,8.29917059,0.557257476,0.338952972,7.732612743,Covid-19
1,349,356,408,25.69487431,17.72723958,69.79898987,21.07986245,148.6303725,0.980337079,0.723891857,1.449457158,2.716455782,3.937386278,0.980337079,0.855392157,3.311169132,Covid-19
2,229,305,840,41.49608823,8.127285543,88.66904756,17.07547527,130.4148472,0.750819672,0.980632534,5.105774617,2.13680497,10.91004458,0.750819672,0.272619048,5.192771864,Covid-19
1,152,209,570,32.8940399,7.133142603,71.69848481,13.91159268,130.7631579,0.727272727,0.976204463,4.611437305,2.179680119,10.05145821,0.727272727,0.266666667,5.153866022,Covid-19
2,797,1173,2214,61.31469476,20.75814594,173.645707,31.85548488,134.9284818,0.67945439,0.940948074,2.953765473,2.832040633,8.365183841,0.67945439,0.359981933,5.451045796,Covid-19
2,195,268,285,19.91755363,16.45834498,75.11269837,15.75695755,162.1333333,0.72761194,0.563195595,1.210179617,3.771180928,4.563806293,0.72761194,0.684210526,4.766954416,Covid-19
1,113,157,210,21.36427828,8.427487376,55.6629509,11.99483508,133.0973451,0.719745223,0.918910417,2.535070932,2.605421544,6.604928423,0.719745223,0.538095238,4.640576593,Covid-19
1,104,129,187,16.12873522,9.602452571,45.89949494,11.50725478,129.7019231,0.80620155,0.803456825,1.679647476,2.845821095,4.779976219,0.80620155,0.556149733,3.988744127,Covid-19
3,104,124,176,15.9899,9.069783228,43.21320344,11.50725478,131.1153846,0.838709677,0.823566651,1.762985906,2.702531187,4.764524394,0.838709677,0.590909091,3.75530083,Covid-19
1,233,435,918,39.33123644,12.85715421,102.9827561,17.22396046,135.1630901,0.535632184,0.945060931,3.059093466,2.618345249,8.009762842,0.535632184,0.253812636,5.979040436,Covid-19
2,1009,2139,3621,207.9517314,9.906028725,448.4264069,35.84269383,149.5252725,0.471715755,0.998864752,20.99244179,2.156396601,45.26803014,0.471715755,0.278652306,12.51095716,Covid-19
3,345,934,2553,79.30497627,13.200266,171.1959595,20.95871282,135.7478261,0.369379015,0.986049997,6.007831682,2.158703874,12.96912952,0.369379015,0.135135135,8.168247783,Covid-19
